Comorbidities,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85 years,Total
Arthritis ,858,"3,293","11,637","24,624","56,107","1,08,774","1,47,703","1,13,084","52,545","5,18,625"
Asthma ,"74,452","67,333","87,461","82,130","70,847","62,836","55,144","31,506","11,336","5,43,045"
Cancer,"1,096","1,432","3,755","8,297","18,603","35,952","53,641","40,743","15,812","1,79,331"
Dementia,80,113,164,205,572,"1,679","5,857","16,232","21,041","45,943"
Diabetes,"1,785","3,941","9,034","20,919","39,381","66,764","84,590","56,999","19,955","3,03,368"
Heartdisease,"2,089","1,753","3,086","5,969","16,861","41,654","71,480","65,103","35,116","2,43,111"
KidneyDisease ,"1,246","1,069","2,063","3,272","5,344","8,833","13,440","13,897","8,286","57,450"
LungCondition,"1,092",854,"1,619","3,076","7,940","18,364","29,306","24,675","10,352","97,278"
MentalHealthCcondition,"23,107","82,294","1,10,898","94,621","90,254","77,478","50,386","26,240","15,871","5,71,149"
Stroke,403,426,841,"1,869","4,757","9,268","15,652","16,613","10,026","59,855"
OtherLongTermHhealthCond,"45,011","40,141","55,917","63,450","75,706","88,069","76,926","46,775","27,113","5,19,108"
NoLongTermHhealthCond,"9,45,340","5,46,938","6,76,524","6,17,573","4,95,448","3,65,070","2,15,966","84,155","22,486","39,69,500"
NotStated,"90,329","60,985","75,553","67,444","62,183","53,548","41,360","26,469","14,840","4,92,711"
