Comorbidities,Total,Male-Total,M_0-14 ,M_15-24 ,M_25-34 ,M_35-44 ,M_45-54 ,M_55-64 ,M_65-74 ,M_75-84 ,M_85,Female-total,F_0-14 ,F_15-24 ,F_25-34 ,F_35-44 ,F_45-54 ,F_55-64 ,F_65-74 ,F_75-84 ,F_85
Arthritis ,"5,18,641","1,83,276",410,"1,255","4,859","9,836","20,218","38,927","52,812","39,517","15,442","3,35,365",447,"2,041","6,777","14,795","35,893","69,851","94,887","73,573","37,101"
Asthma ,"5,43,047","2,44,002","45,210","33,478","38,793","36,650","29,228","24,778","20,611","11,553","3,701","2,99,045","29,239","33,855","48,672","45,483","41,617","38,055","34,529","19,959","7,636"
Cancer,"1,79,304","85,362",618,758,"1,719","3,080","6,378","15,458","27,387","22,150","7,814","93,942",478,667,"2,030","5,210","12,221","20,493","26,255","18,593","7,995"
Dementia,"45,947","18,233",53,63,87,117,309,886,"2,905","7,107","6,706","27,714",32,50,80,91,265,789,"2,952","9,122","14,333"
Diabetes,"3,03,361","1,65,058",935,"2,023","4,321","11,456","22,126","37,502","47,511","30,424","8,760","1,38,303",855,"1,921","4,707","9,459","17,257","29,261","37,077","26,577","11,189"
Heartdisease,"2,43,140","1,47,202","1,198",930,"1,582","3,686","11,224","28,244","46,628","37,926","15,784","95,938",895,830,"1,503","2,287","5,641","13,412","24,863","27,180","19,327"
KidneyDisease ,"57,439","29,516",783,547,963,"1,585","2,681","4,705","7,426","7,257","3,569","27,923",463,520,"1,098","1,680","2,669","4,133","6,009","6,639","4,712"
LungCondition,"97,268","46,888",613,463,832,"1,486","3,538","8,685","14,195","12,297","4,779","50,380",479,394,781,"1,586","4,402","9,677","15,113","12,375","5,573"
MentalHealthCcondition,"5,71,147","2,18,697","12,163","27,959","39,367","36,857","35,985","31,057","20,742","10,140","4,427","3,52,450","10,940","54,335","71,535","57,757","54,270","46,425","29,637","16,102","11,449"
Stroke,"59,835","32,507",253,211,383,890,"2,427","5,337","9,308","9,305","4,393","27,328",146,211,452,974,"2,328","3,928","6,345","7,309","5,635"
OtherLongTermHhealthCond,"5,19,096","2,23,691","27,334","18,338","20,709","25,502","31,520","38,470","33,582","19,321","8,915","2,95,405","17,680","21,798","35,211","37,953","44,184","49,594","43,340","27,448","18,197"
NoLongTermHhealthCond,"39,69,509","20,15,364","4,75,292","2,91,879","3,49,558","3,13,704","2,48,948","1,81,249","1,04,260","40,527","9,947","19,54,145","4,70,046","2,55,064","3,26,967","3,03,869","2,46,497","1,83,822","1,11,702","43,632","12,546"
NotStated,"4,92,711","2,52,985","46,401","32,545","40,322","35,388","32,599","27,614","20,202","12,355","5,559","2,39,726","43,928","28,441","35,234","32,058","29,580","25,934","21,153","14,116","9,282"
